gene,log2FC,t_statistic,p_value,mean_tumor,mean_normal,adj_p_value,significant,direction
RAB30,0.08549754666432197,1.6428784299667822,0.10396652114062668,6.449257383827586,6.363759837163264,0.16513192304801616,False,Not Significant
TBX1,-0.05011338547501598,-1.642662170975465,0.10402311585760862,5.410051197586207,5.460164583061223,0.16520239845071452,False,Not Significant
UPF1,-0.11243519655911349,-1.6398037605681695,0.10404154552030608,8.453931136155171,8.566366332714285,0.16521225328480044,False,Not Significant
SLCO1B1,0.04837304100703843,1.6393523471517415,0.10413353610675771,5.586593960517242,5.538220919510204,0.1653389027822874,False,Not Significant
SENP5,-0.05211098629451172,-1.6407018406916016,0.10431538347132022,8.944522958603448,8.99663394489796,0.165600289315283,False,Not Significant
IPW /// LOC101930404 /// PWARSN /// SNORD107 /// SNORD115-13 /// SNORD115-26 /// SNORD115-7 /// SNORD116-22 /// SNORD116-28 /// SNORD116-4 /// SNRPN,-0.09246587527586136,-1.6384938254755845,0.10432266838552123,8.607266218724138,8.699732094,0.165600289315283,False,Not Significant
IGH,-0.05780815422237762,-1.6388546050568618,0.10436791868616979,5.639407148655173,5.6972153028775505,0.16565266248309862,False,Not Significant
PIK3R5,-0.05621658570232135,-1.6384139932909005,0.10438695358772247,7.493113594379311,7.549330180081633,0.16565885520225804,False,Not Significant
LOC732360 /// TDG,0.08061593189584837,1.638151611132395,0.10439633516519657,7.389842733344827,7.309226801448979,0.16565885520225804,False,Not Significant
ZBTB24,-0.06413446443349802,-1.6380426175122282,0.10445626033388959,7.88686299113793,7.950997455571428,0.16573448678240407,False,Not Significant
USP32 /// USP6,-0.06942286286770027,-1.6373402731025826,0.10456179938051582,8.829372983724136,8.898795846591836,0.16588246491697048,False,Not Significant
OGDHL,0.0983590142068973,1.642390536915755,0.10457559446793344,6.7386068052068975,6.640247791,0.16588487784438033,False,Not Significant
EAPP,0.13565697735925397,1.6377705833259413,0.1046105515012932,9.073654976155172,8.937997998795918,0.1659208547752585,False,Not Significant
SYN2,-0.06097395440569997,-1.6368772130114255,0.10470792212113618,8.015336065431034,8.076310019836734,0.16605580467814543,False,Not Significant
CC2D1A,0.0963327423008451,1.6362686205304533,0.10478590886682758,7.267406909362069,7.1710741670612235,0.16615998572511728,False,Not Significant
