gene,log2FC,t_statistic,p_value,mean_tumor,mean_normal,adj_p_value,significant,direction,neg_log10_padj
RFC4,1.1105733310070365,10.855794537920541,2.666686360421397e-17,8.575697625517241,7.465124294510205,6.698934230686836e-16,True,Upregulated in Tumor,15.173994286037829
ASPM,1.4829959421713559,10.624442091399043,2.8527167959846715e-17,6.901276600844827,5.4182806586734715,7.113370387035579e-16,True,Upregulated in Tumor,15.147924577375845
SFTPC,-2.989549250545041,-11.343197868141669,3.1395595113402546e-17,12.021670546189656,15.011219796734697,7.785531522158448e-16,True,Downregulated in Tumor,15.108711732580696
KAT2B,-1.0080723017670667,-10.113520536201232,3.5397267793146855e-17,7.160426504620689,8.168498806387756,8.666559315659053e-16,True,Downregulated in Tumor,15.062153286237958
NEDD9,-1.4649922091685443,-10.286717648302858,4.002278464865142e-17,8.851374831362069,10.316367040530613,9.746088910387818e-16,True,Downregulated in Tumor,15.011169631009857
KCNN4,1.0760094176294848,10.667222977757946,4.284231194427023e-17,7.910349550017241,6.834340132387756,1.035802944412902e-15,True,Upregulated in Tumor,14.984722858774335
HIST1H2BD,1.2938033445967605,10.950525655943407,4.639330886941497e-17,9.392493212862068,8.098689868265307,1.1176569863995424e-15,True,Upregulated in Tumor,14.951691462792304
KRT8,1.3425776695380023,10.054980658256131,4.7054409095528444e-17,11.144327775293105,9.801750105755103,1.131566439370226e-15,True,Upregulated in Tumor,14.946319941572467
ABCC3,1.178726824464814,10.690392933921363,4.870584086149102e-17,9.990607481913793,8.81188065744898,1.1691997144636787e-15,True,Upregulated in Tumor,14.932111299375894
EFNA4,1.0940989288648826,11.043473556123097,4.914742984241827e-17,7.796276418068964,6.7021774892040815,1.1756239191509431e-15,True,Upregulated in Tumor,14.929731586388478
CALCRL,-1.0704986959035896,-11.044906556326008,4.9104687037160404e-17,8.768761046586206,9.839259742489796,1.1756239191509431e-15,True,Downregulated in Tumor,14.929731586388478
PTCH1,-1.2243839685872624,-10.031895641265697,5.570273571521756e-17,5.976413818086207,7.200797786673469,1.32539167815346e-15,True,Downregulated in Tumor,14.877655760577106
ELTD1,-1.014164633786419,-10.054686231758794,6.318623657429433e-17,7.112291317948276,8.126455951734695,1.4955551441358807e-15,True,Downregulated in Tumor,14.82519756902357
TSPAN6,1.1594070928923301,10.30063610600475,6.721064600825672e-17,9.723179691586207,8.563772598693877,1.5852563364774687e-15,True,Upregulated in Tumor,14.799900502205533
COL11A1,1.8164795508793095,11.046825845121813,7.425303491548774e-17,8.54546477187931,6.728985221,1.7302237360048566e-15,True,Upregulated in Tumor,14.76189773442631
FABP5,-1.523343455923646,-10.188038049189391,7.574367237060356e-17,9.259836292362067,10.783179748285713,1.761920365040804e-15,True,Downregulated in Tumor,14.754013724644128
CKS1B,1.1390594745918357,10.875474143572799,7.748895791605904e-17,9.730068,8.591008525408164,1.7994214196486908e-15,True,Upregulated in Tumor,14.744867114144778
EFNB2,-1.205682578321957,-10.087856825200202,7.809956940396307e-17,9.282132230086207,10.487814808408164,1.810490018000962e-15,True,Downregulated in Tumor,14.74220386528997
DSG2,1.3020795960541864,10.610027074596527,8.414319178004362e-17,10.320288489482758,9.018208893428572,1.93400550494437e-15,True,Upregulated in Tumor,14.713542294077444
CDKN3,1.210943041725896,10.437310928714197,8.402901668912751e-17,8.192463333603447,6.981520291877551,1.93400550494437e-15,True,Upregulated in Tumor,14.713542294077444
RUFY2,-1.0224077621931746,-9.983800863438587,8.494312126509828e-17,7.208322538051724,8.230730300244899,1.949076882678783e-15,True,Downregulated in Tumor,14.710171029499824
ADCY9,-1.0770250327280086,-10.395448847580475,9.593458634046313e-17,7.993861804741379,9.070886837469388,2.1938340683440934e-15,True,Downregulated in Tumor,14.658796223583428
PAPSS2,-1.2280951689334998,-10.136891358957186,9.769528514650498e-17,9.38064141163793,10.60873658057143,2.230323950599687e-15,True,Downregulated in Tumor,14.651632051866693
MAD2L1,1.4207424380372977,10.639293966527552,9.916495391928929e-17,7.039934881241379,5.619192443204081,2.26005792954333e-15,True,Upregulated in Tumor,14.645880428924027
ITGA8,-1.2491327822751597,-10.262712623773597,1.1319661242693264e-16,8.075174619275861,9.324307401551021,2.549753694916658e-15,True,Downregulated in Tumor,14.593501770195445
TIMP1,1.2950696657522869,10.573698394030066,1.2229464461142912e-16,12.392712773793104,11.097643108040817,2.745535086251602e-15,True,Upregulated in Tumor,14.561373001902483
MME,-1.1555194278240677,-9.913105316170292,1.2414593315377656e-16,8.722406086931034,9.877925514755102,2.7824747704366337e-15,True,Downregulated in Tumor,14.555568764858421
C5AR1,-1.1742900824802973,-9.92333604579605,1.3009828847954858e-16,8.371048459948275,9.545338542428572,2.896669470842008e-15,True,Downregulated in Tumor,14.538101057843853
CDK1,1.1502274304602373,10.561147701307792,1.4415150051890463e-16,8.475895968827585,7.325668538367347,3.1781525766933054e-15,True,Upregulated in Tumor,14.49782525702626
SYNE1,-1.055712231516889,-10.166599313945426,1.50066125518404e-16,8.37186827625862,9.42758050777551,3.2817859002932527e-15,True,Downregulated in Tumor,14.483889755200712
GPI,1.10859841402322,9.862942739921671,1.6257800572170945e-16,10.884580121206895,9.775981707183675,3.5325430021365003e-15,True,Upregulated in Tumor,14.45191254272019
KIF2A,1.004943703133355,10.056664803295336,1.6593441635948964e-16,8.166819331051723,7.161875627918368,3.5939160850937535e-15,True,Upregulated in Tumor,14.44443206751814
NRGN,-1.1344713555802244,-9.910655649845108,1.6904076425781594e-16,8.461932366603449,9.596403722183673,3.6553374863110115e-15,True,Downregulated in Tumor,14.437072519752284
RGS17,1.1144394718339186,10.734766645236164,1.9391317180160088e-16,8.097500858793103,6.983061386959184,4.153306682882149e-15,True,Upregulated in Tumor,14.381605999117465
GMNN,1.0880472786045043,10.087070317806118,2.054324023319728e-16,8.622194303931035,7.534147025326531,4.393067907462995e-15,True,Upregulated in Tumor,14.3572320834161
EFEMP1,-1.4022588023574958,-10.344109146793448,2.1302781407222075e-16,10.199721971724136,11.601980774081632,4.548295272015898e-15,True,Downregulated in Tumor,14.342151348987686
SOCS2,-1.3580107144222389,-9.753885760640319,2.20956578666483e-16,8.142446153965517,9.500456868387756,4.7101390546964004e-15,True,Downregulated in Tumor,14.32696627125839
KLF6,-1.1949849157755121,-9.792519524336752,2.634989988972712e-16,9.799274655999998,10.99425957177551,5.5905635323337835e-15,True,Downregulated in Tumor,14.252544412749069
PDK4,-1.2734846701189317,-10.930068103012175,2.666502983742366e-16,6.48757577375862,7.761060443877552,5.6485560854667835e-15,True,Downregulated in Tumor,14.248062554703855
ZEB2,-1.1481407296069666,-9.70947009934288,2.8569208495360564e-16,6.222969298637931,7.371110028244898,6.033013325231219e-15,True,Downregulated in Tumor,14.219465715448058
COL1A1,2.328321875919775,10.36807444914184,2.888987019992531e-16,12.473870803103448,10.145548927183674,6.091210542152739e-15,True,Upregulated in Tumor,14.215296388888849
CD52,-1.2920888517188587,-9.692843016794699,3.0005659923532306e-16,9.850828073913794,11.142916925632653,6.287232463047118e-15,True,Downregulated in Tumor,14.201540481823791
SLC15A2,-1.1104724582318806,-9.69425644979925,3.9093828911602013e-16,7.406112071706897,8.516584529938777,8.066459507485514e-15,True,Downregulated in Tumor,14.093317041951359
GINS1,1.1972827176520067,10.400636664255613,3.9862730476863397e-16,7.533168572672414,6.335885855020408,8.209372346063724e-15,True,Upregulated in Tumor,14.085690045933083
LGR4,1.228538622748415,10.32648481465483,4.176639841188169e-16,7.64440041525862,6.415861792510205,8.543312291623577e-15,True,Upregulated in Tumor,14.068373718177599
SLC2A1,1.0591177523504562,10.80023756174422,4.891995459315589e-16,10.20731945975862,9.148201707408164,9.867958004873161e-15,True,Upregulated in Tumor,14.005772707407946
